Num_classes,Data_subset,Epoch,Acc,VQAAcc
9223372036854775807,1.0,8,0.5308,0.5308
9223372036854775807,1.0,16,0.64,0.64
9223372036854775807,1.0,20,0.6652,0.6652
9223372036854775807,1.0,NA,0.7184,0.7184
9223372036854775807,1.0,NA,0.7068,0.7068
9223372036854775807,1.0,NA,0.648,0.648
9223372036854775807,1.0,NA,0.7324,0.7324
9223372036854775807,1.0,NA,0.7044,0.7044
9223372036854775807,1.0,NA,0.6224,0.6224
9223372036854775807,1.0,NA,0.7164,0.7164
9223372036854775807,1.0,NA,0.7324,0.7324
9223372036854775807,1.0,NA,0.718,0.718
